2 152880  Note_on_c 0 46 80 
2 153119  Note_on_c 0 50 0 
2 153119  Note_on_c 0 46 0 
2 153120  Note_on_c 0 41 80 
2 153359  Note_on_c 0 41 0 
2 153360  Note_on_c 0 50 80 
2 153360  Note_on_c 0 46 80 
2 153599  Note_on_c 0 50 0 
2 153599  Note_on_c 0 46 0 
2 153600  Note_on_c 0 36 80 
2 153839  Note_on_c 0 36 0 
2 153840  Note_on_c 0 52 80 
2 153840  Note_on_c 0 48 80 
2 154079  Note_on_c 0 52 0 
2 154079  Note_on_c 0 48 0 
2 154080  Note_on_c 0 43 80 
2 154319  Note_on_c 0 43 0 
2 154320  Note_on_c 0 52 80 
2 154320  Note_on_c 0 48 80 
2 154559  Note_on_c 0 52 0 
2 154559  Note_on_c 0 48 0 
2 154560  Note_on_c 0 41 80 
2 154799  Note_on_c 0 41 0 
2 154800  Note_on_c 0 53 80 
2 154800  Note_on_c 0 48 80 
2 155039  Note_on_c 0 53 0 
2 155039  Note_on_c 0 48 0 
2 155040  Note_on_c 0 40 80 
2 155279  Note_on_c 0 40 0 
2 155280  Note_on_c 0 52 80 
2 155519  Note_on_c 0 52 0 
2 155520  Note_on_c 0 50 80 
2 155520  Note_on_c 0 38 80 
2 155759  Note_on_c 0 50 0 
2 155759  Note_on_c 0 38 0 
2 155760  Note_on_c 0 53 80 
2 155760  Note_on_c 0 50 80 
2 155999  Note_on_c 0 53 0 
2 155999  Note_on_c 0 50 0 
2 156000  Note_on_c 0 45 80 
2 156239  Note_on_c 0 45 0 
2 156240  Note_on_c 0 53 80 
2 156240  Note_on_c 0 50 80 
2 156479  Note_on_c 0 53 0 
2 156479  Note_on_c 0 50 0 
2 156480  Note_on_c 0 46 80 
2 156480  Note_on_c 0 34 80 
2 156719  Note_on_c 0 46 0 
2 156719  Note_on_c 0 34 0 
2 156720  Note_on_c 0 50 80 
2 156720  Note_on_c 0 46 80 
2 156959  Note_on_c 0 50 0 
2 156959  Note_on_c 0 46 0 
2 156960  Note_on_c 0 41 80 
2 157199  Note_on_c 0 41 0 
2 157200  Note_on_c 0 50 80 
2 157200  Note_on_c 0 46 80 
2 157439  Note_on_c 0 50 0 
2 157439  Note_on_c 0 46 0 
2 157440  Note_on_c 0 36 80 
2 157679  Note_on_c 0 36 0 
2 157680  Note_on_c 0 52 80 
2 157680  Note_on_c 0 48 80 
2 157919  Note_on_c 0 52 0 
2 157919  Note_on_c 0 48 0 
2 157920  Note_on_c 0 43 80 
2 158159  Note_on_c 0 43 0 
2 158160  Note_on_c 0 52 80 
2 158160  Note_on_c 0 48 80 
2 158399  Note_on_c 0 52 0 
2 158399  Note_on_c 0 48 0 
2 158400  Note_on_c 0 41 80 
2 158639  Note_on_c 0 41 0 
2 158640  Note_on_c 0 53 80 
2 158879  Note_on_c 0 53 0 
2 158880  Note_on_c 0 48 80 
2 159119  Note_on_c 0 48 0 
2 159120  Note_on_c 0 53 80 
2 159359  Note_on_c 0 53 0 
2 159360  Note_on_c 0 34 80 
2 159599  Note_on_c 0 34 0 
2 159600  Note_on_c 0 50 80 
2 159600  Note_on_c 0 46 80 
2 159839  Note_on_c 0 50 0 
2 159839  Note_on_c 0 46 0 
2 159840  Note_on_c 0 34 80 
2 160079  Note_on_c 0 34 0 
2 160080  Note_on_c 0 50 80 
2 160080  Note_on_c 0 46 80 
2 160319  Note_on_c 0 50 0 
2 160319  Note_on_c 0 46 0 
2 160320  Note_on_c 0 33 80 
2 160559  Note_on_c 0 33 0 
2 160560  Note_on_c 0 48 80 
2 160799  Note_on_c 0 48 0 
2 160800  Note_on_c 0 33 80 
2 161039  Note_on_c 0 33 0 
2 161040  Note_on_c 0 45 80 
2 161279  Note_on_c 0 45 0 
2 161280  Note_on_c 0 46 80 
2 161280  Note_on_c 0 34 80 
2 161759  Note_on_c 0 46 0 
2 161759  Note_on_c 0 34 0 
2 161760  Note_on_c 0 48 80 
2 161760  Note_on_c 0 36 80 
2 162239  Note_on_c 0 48 0 
2 162239  Note_on_c 0 36 0 
2 162240  Note_on_c 0 50 80 
2 162240  Note_on_c 0 45 80 
2 162240  Note_on_c 0 38 80 
2 162479  Note_on_c 0 50 0 
2 162479  Note_on_c 0 45 0 
2 162479  Note_on_c 0 38 0 
2 162480  Note_on_c 0 38 80 
2 162719  Note_on_c 0 38 0 
2 162720  Note_on_c 0 50 80 
2 162720  Note_on_c 0 45 80 
2 162959  Note_on_c 0 50 0 
2 162959  Note_on_c 0 45 0 
2 162960  Note_on_c 0 38 80 
2 163199  Note_on_c 0 38 0 
2 163200  Note_on_c 0 50 80 
2 163200  Note_on_c 0 38 80 
2 163439  Note_on_c 0 50 0 
2 163439  Note_on_c 0 38 0 
2 163440  Note_on_c 0 53 80 
2 163440  Note_on_c 0 50 80 
2 163679  Note_on_c 0 53 0 
2 163679  Note_on_c 0 50 0 
2 163680  Note_on_c 0 45 80 
2 163919  Note_on_c 0 45 0 
2 163920  Note_on_c 0 53 80 
2 163920  Note_on_c 0 50 80 
2 164159  Note_on_c 0 53 0 
2 164159  Note_on_c 0 50 0 
2 164160  Note_on_c 0 46 80 
2 164160  Note_on_c 0 34 80 
2 164399  Note_on_c 0 46 0 
2 164399  Note_on_c 0 34 0 
2 164400  Note_on_c 0 50 80 
2 164400  Note_on_c 0 46 80 
2 164639  Note_on_c 0 50 0 
2 164639  Note_on_c 0 46 0 
2 164640  Note_on_c 0 41 80 
2 164879  Note_on_c 0 41 0 
2 164880  Note_on_c 0 50 80 
2 164880  Note_on_c 0 46 80 
2 165119  Note_on_c 0 50 0 
2 165119  Note_on_c 0 46 0 
2 165120  Note_on_c 0 36 80 
2 165359  Note_on_c 0 36 0 
2 165360  Note_on_c 0 52 80 
2 165360  Note_on_c 0 48 80 
2 165599  Note_on_c 0 52 0 
2 165599  Note_on_c 0 48 0 
2 165600  Note_on_c 0 43 80 
2 165839  Note_on_c 0 43 0 
2 165840  Note_on_c 0 52 80 
2 165840  Note_on_c 0 48 80 
2 166079  Note_on_c 0 52 0 
2 166079  Note_on_c 0 48 0 
2 166080  Note_on_c 0 41 80 
2 166319  Note_on_c 0 41 0 
2 166320  Note_on_c 0 53 80 
2 166320  Note_on_c 0 48 80 
2 166559  Note_on_c 0 53 0 
2 166559  Note_on_c 0 48 0 
2 166560  Note_on_c 0 40 80 
2 166799  Note_on_c 0 40 0 
2 166800  Note_on_c 0 52 80 
2 167039  Note_on_c 0 52 0 
2 167040  Note_on_c 0 50 80 
2 167040  Note_on_c 0 38 80 
2 167279  Note_on_c 0 50 0 
2 167279  Note_on_c 0 38 0 
2 167280  Note_on_c 0 53 80 
2 167280  Note_on_c 0 50 80 
2 167519  Note_on_c 0 53 0 
2 167519  Note_on_c 0 50 0 
2 167520  Note_on_c 0 45 80 
2 167759  Note_on_c 0 45 0 
2 167760  Note_on_c 0 53 80 
2 167760  Note_on_c 0 50 80 
2 167999  Note_on_c 0 53 0 
2 167999  Note_on_c 0 50 0 
2 168000  Note_on_c 0 46 80 
2 168000  Note_on_c 0 34 80 
2 168239  Note_on_c 0 46 0 
2 168239  Note_on_c 0 34 0 
2 168240  Note_on_c 0 50 80 
2 168240  Note_on_c 0 46 80 
2 168479  Note_on_c 0 50 0 
2 168479  Note_on_c 0 46 0 
2 168480  Note_on_c 0 41 80 
2 168719  Note_on_c 0 41 0 
2 168720  Note_on_c 0 50 80 
2 168720  Note_on_c 0 46 80 
2 168959  Note_on_c 0 50 0 
2 168959  Note_on_c 0 46 0 
2 168960  Note_on_c 0 36 80 
2 169199  Note_on_c 0 36 0 
2 169200  Note_on_c 0 52 80 
2 169200  Note_on_c 0 48 80 
2 169439  Note_on_c 0 52 0 
2 169439  Note_on_c 0 48 0 
2 169440  Note_on_c 0 43 80 
2 169679  Note_on_c 0 43 0 
2 169680  Note_on_c 0 52 80 
2 169680  Note_on_c 0 48 80 
2 169919  Note_on_c 0 52 0 
2 169919  Note_on_c 0 48 0 
2 169920  Note_on_c 0 41 80 
2 170159  Note_on_c 0 41 0 
2 170160  Note_on_c 0 53 80 
2 170160  Note_on_c 0 48 80 
2 170399  Note_on_c 0 53 0 
2 170399  Note_on_c 0 48 0 
2 170400  Note_on_c 0 40 80 
2 170639  Note_on_c 0 40 0 
2 170640  Note_on_c 0 52 80 
2 170879  Note_on_c 0 52 0 
2 170880  Note_on_c 0 50 80 
2 170880  Note_on_c 0 38 80 
2 171119  Note_on_c 0 50 0 
2 171119  Note_on_c 0 38 0 
2 171120  Note_on_c 0 53 80 
2 171120  Note_on_c 0 50 80 
2 171359  Note_on_c 0 53 0 
2 171359  Note_on_c 0 50 0 
2 171360  Note_on_c 0 45 80 
2 171599  Note_on_c 0 45 0 
2 171600  Note_on_c 0 53 80 
2 171600  Note_on_c 0 50 80 
2 171839  Note_on_c 0 53 0 
2 171839  Note_on_c 0 50 0 
2 171840  Note_on_c 0 46 80 
2 171840  Note_on_c 0 34 80 
2 172079  Note_on_c 0 46 0 
2 172079  Note_on_c 0 34 0 
2 172080  Note_on_c 0 50 80 
2 172080  Note_on_c 0 46 80 
2 172319  Note_on_c 0 50 0 
2 172319  Note_on_c 0 46 0 
2 172320  Note_on_c 0 41 80 
2 172559  Note_on_c 0 41 0 
2 172560  Note_on_c 0 50 80 
2 172560  Note_on_c 0 46 80 
2 172799  Note_on_c 0 50 0 
2 172799  Note_on_c 0 46 0 
2 172800  Note_on_c 0 36 80 
2 173039  Note_on_c 0 36 0 
2 173040  Note_on_c 0 52 80 
2 173040  Note_on_c 0 48 80 
2 173279  Note_on_c 0 52 0 
2 173279  Note_on_c 0 48 0 
2 173280  Note_on_c 0 43 80 
2 173519  Note_on_c 0 43 0 
2 173520  Note_on_c 0 52 80 
2 173520  Note_on_c 0 48 80 
2 173759  Note_on_c 0 52 0 
2 173759  Note_on_c 0 48 0 
2 173760  Note_on_c 0 41 80 
2 173999  Note_on_c 0 41 0 
2 174000  Note_on_c 0 53 80 
2 174239  Note_on_c 0 53 0 
2 174240  Note_on_c 0 48 80 
2 174479  Note_on_c 0 48 0 
2 174480  Note_on_c 0 53 80 
2 174719  Note_on_c 0 53 0 
2 174720  Note_on_c 0 34 80 
2 174959  Note_on_c 0 34 0 
2 174960  Note_on_c 0 50 80 
2 174960  Note_on_c 0 46 80 
2 175199  Note_on_c 0 50 0 
2 175199  Note_on_c 0 46 0 
2 175200  Note_on_c 0 34 80 
2 175439  Note_on_c 0 34 0 
2 175440  Note_on_c 0 50 80 
2 175440  Note_on_c 0 46 80 
2 175679  Note_on_c 0 50 0 
2 175679  Note_on_c 0 46 0 
2 175680  Note_on_c 0 33 80 
2 175919  Note_on_c 0 33 0 
2 175920  Note_on_c 0 48 80 
2 176159  Note_on_c 0 48 0 
2 176160  Note_on_c 0 33 80 
2 176399  Note_on_c 0 33 0 
2 176400  Note_on_c 0 45 80 
2 176639  Note_on_c 0 45 0 
2 176640  Note_on_c 0 46 80 
2 176640  Note_on_c 0 34 80 
2 177119  Note_on_c 0 46 0 
2 177119  Note_on_c 0 34 0 
2 177120  Note_on_c 0 48 80 
2 177120  Note_on_c 0 36 80 
2 177599  Note_on_c 0 48 0 
2 177599  Note_on_c 0 36 0 
2 177600  Note_on_c 0 50 80 
2 177600  Note_on_c 0 45 80 
2 177600  Note_on_c 0 38 80 
2 178319  Note_on_c 0 50 0 
2 178319  Note_on_c 0 45 0 
2 178319  Note_on_c 0 38 0 
2 178320  Note_on_c 0 38 80 
2 178560  Note_on_c 0 50 80 
2 178560  Note_on_c 0 45 80 
2 178799  Note_on_c 0 50 0 
2 178799  Note_on_c 0 45 0 
2 178799  Note_on_c 0 38 0 
2 179280  Note_on_c 0 34 80 
2 179520  Note_on_c 0 46 80 
2 179520  Note_on_c 0 41 80 
2 180239  Note_on_c 0 46 0 
2 180239  Note_on_c 0 41 0 
2 180239  Note_on_c 0 34 0 
2 180240  Note_on_c 0 36 80 
2 180480  Note_on_c 0 48 80 
2 180480  Note_on_c 0 43 80 
2 180719  Note_on_c 0 48 0 
2 180719  Note_on_c 0 43 0 
2 180719  Note_on_c 0 36 0 
2 181200  Note_on_c 0 38 80 
2 181440  Note_on_c 0 50 80 
2 181440  Note_on_c 0 45 80 
2 182159  Note_on_c 0 50 0 
2 182159  Note_on_c 0 45 0 
2 182159  Note_on_c 0 38 0 
2 182160  Note_on_c 0 38 80 
2 182400  Note_on_c 0 50 80 
2 182400  Note_on_c 0 45 80 
2 182639  Note_on_c 0 50 0 
2 182639  Note_on_c 0 45 0 
2 182639  Note_on_c 0 38 0 
2 183120  Note_on_c 0 34 80 
2 183360  Note_on_c 0 46 80 
2 183360  Note_on_c 0 41 80 
2 184079  Note_on_c 0 46 0 
2 184079  Note_on_c 0 41 0 
2 184079  Note_on_c 0 34 0 
2 184080  Note_on_c 0 36 80 
2 184320  Note_on_c 0 48 80 
2 184320  Note_on_c 0 43 80 
2 185039  Note_on_c 0 48 0 
2 185039  Note_on_c 0 43 0 
2 185039  Note_on_c 0 36 0 
2 185040  Note_on_c 0 36 80 
2 185280  Note_on_c 0 48 80 
2 185280  Note_on_c 0 43 80 
2 185759  Note_on_c 0 48 0 
2 185759  Note_on_c 0 43 0 
2 185759  Note_on_c 0 36 0 
2 185760  Note_on_c 0 48 80 
2 185760  Note_on_c 0 43 80 
2 185760  Note_on_c 0 36 80 
2 186239  Note_on_c 0 48 0 
2 186239  Note_on_c 0 43 0 
2 186239  Note_on_c 0 36 0 
2 186240  Note_on_c 0 38 80 
2 186479  Note_on_c 0 38 0 
2 186480  Note_on_c 0 53 80 
2 186480  Note_on_c 0 50 80 
2 186719  Note_on_c 0 53 0 
2 186719  Note_on_c 0 50 0 
2 186720  Note_on_c 0 38 80 
2 186959  Note_on_c 0 38 0 
2 186960  Note_on_c 0 53 80 
2 186960  Note_on_c 0 50 80 
2 187199  Note_on_c 0 53 0 
2 187199  Note_on_c 0 50 0 
2 187200  Note_on_c 0 38 80 
2 187439  Note_on_c 0 38 0 
2 187440  Note_on_c 0 53 80 
2 187440  Note_on_c 0 50 80 
2 187679  Note_on_c 0 53 0 
2 187679  Note_on_c 0 50 0 
2 187680  Note_on_c 0 38 80 
2 187919  Note_on_c 0 38 0 
2 187920  Note_on_c 0 53 80 
2 187920  Note_on_c 0 50 80 
2 188159  Note_on_c 0 53 0 
2 188159  Note_on_c 0 50 0 
2 188160  Note_on_c 0 39 80 
2 188399  Note_on_c 0 39 0 
2 188400  Note_on_c 0 55 80 
2 188400  Note_on_c 0 51 80 
2 188639  Note_on_c 0 55 0 
2 188639  Note_on_c 0 51 0 
2 188640  Note_on_c 0 39 80 
2 188879  Note_on_c 0 39 0 
2 188880  Note_on_c 0 55 80 
2 188880  Note_on_c 0 51 80 
2 189119  Note_on_c 0 55 0 
2 189119  Note_on_c 0 51 0 
2 189120  Note_on_c 0 39 80 
2 189359  Note_on_c 0 39 0 
2 189360  Note_on_c 0 55 80 
2 189360  Note_on_c 0 51 80 
2 189599  Note_on_c 0 55 0 
2 189599  Note_on_c 0 51 0 
2 189600  Note_on_c 0 39 80 
2 189839  Note_on_c 0 39 0 
2 189840  Note_on_c 0 55 80 
2 189840  Note_on_c 0 51 80 
2 190079  Note_on_c 0 55 0 
2 190079  Note_on_c 0 51 0 
2 190080  Note_on_c 0 34 80 
2 190319  Note_on_c 0 34 0 
2 190320  Note_on_c 0 50 80 
2 190320  Note_on_c 0 46 80 
2 190559  Note_on_c 0 50 0 
2 190559  Note_on_c 0 46 0 
2 190560  Note_on_c 0 34 80 
2 190799  Note_on_c 0 34 0 
2 190800  Note_on_c 0 50 80 
2 190800  Note_on_c 0 46 80 
2 191039  Note_on_c 0 50 0 
2 191039  Note_on_c 0 46 0 
2 191040  Note_on_c 0 34 80 
2 191279  Note_on_c 0 34 0 
2 191280  Note_on_c 0 50 80 
2 191280  Note_on_c 0 46 80 
2 191519  Note_on_c 0 50 0 
2 191519  Note_on_c 0 46 0 
2 191520  Note_on_c 0 34 80 
2 191759  Note_on_c 0 34 0 
2 191760  Note_on_c 0 50 80 
2 191760  Note_on_c 0 46 80 
2 191999  Note_on_c 0 50 0 
2 191999  Note_on_c 0 46 0 
2 192000  Note_on_c 0 36 80 
2 192239  Note_on_c 0 36 0 
2 192240  Note_on_c 0 52 80 
2 192240  Note_on_c 0 48 80 
2 192479  Note_on_c 0 52 0 
2 192479  Note_on_c 0 48 0 
2 192480  Note_on_c 0 36 80 
2 192719  Note_on_c 0 36 0 
2 192720  Note_on_c 0 52 80 
2 192720  Note_on_c 0 48 80 
2 192959  Note_on_c 0 52 0 
2 192959  Note_on_c 0 48 0 
2 192960  Note_on_c 0 33 80 
2 193199  Note_on_c 0 33 0 
2 193200  Note_on_c 0 49 80 
2 193439  Note_on_c 0 49 0 
2 193440  Note_on_c 0 33 80 
2 193679  Note_on_c 0 33 0 
2 193680  Note_on_c 0 49 80 
2 193919  Note_on_c 0 49 0 
2 193920  Note_on_c 0 38 80 
2 194159  Note_on_c 0 38 0 
2 194160  Note_on_c 0 53 80 
2 194160  Note_on_c 0 50 80 
2 194399  Note_on_c 0 53 0 
2 194399  Note_on_c 0 50 0 
2 194400  Note_on_c 0 38 80 
2 194639  Note_on_c 0 38 0 
2 194640  Note_on_c 0 53 80 
2 194640  Note_on_c 0 50 80 
2 194879  Note_on_c 0 53 0 
2 194879  Note_on_c 0 50 0 
2 194880  Note_on_c 0 38 80 
2 195119  Note_on_c 0 38 0 
2 195120  Note_on_c 0 53 80 
2 195120  Note_on_c 0 50 80 
2 195359  Note_on_c 0 53 0 
2 195359  Note_on_c 0 50 0 
2 195360  Note_on_c 0 38 80 
2 195599  Note_on_c 0 38 0 
2 195600  Note_on_c 0 53 80 
2 195600  Note_on_c 0 50 80 
2 195839  Note_on_c 0 53 0 
2 195839  Note_on_c 0 50 0 
2 195840  Note_on_c 0 39 80 
2 196079  Note_on_c 0 39 0 
2 196080  Note_on_c 0 55 80 
2 196080  Note_on_c 0 51 80 
2 196319  Note_on_c 0 55 0 
2 196319  Note_on_c 0 51 0 
2 196320  Note_on_c 0 39 80 
2 196559  Note_on_c 0 39 0 
2 196560  Note_on_c 0 55 80 
2 196560  Note_on_c 0 51 80 
2 196799  Note_on_c 0 55 0 
2 196799  Note_on_c 0 51 0 
2 196800  Note_on_c 0 39 80 
2 197039  Note_on_c 0 39 0 
2 197040  Note_on_c 0 55 80 
2 197040  Note_on_c 0 51 80 
2 197279  Note_on_c 0 55 0 
2 197279  Note_on_c 0 51 0 
2 197280  Note_on_c 0 39 80 
2 197519  Note_on_c 0 39 0 
2 197520  Note_on_c 0 55 80 
2 197520  Note_on_c 0 51 80 
2 197759  Note_on_c 0 55 0 
2 197759  Note_on_c 0 51 0 
2 197760  Note_on_c 0 34 80 
2 197999  Note_on_c 0 34 0 
2 198000  Note_on_c 0 50 80 
2 198000  Note_on_c 0 46 80 
2 198239  Note_on_c 0 50 0 
2 198239  Note_on_c 0 46 0 
2 198240  Note_on_c 0 34 80 
2 198479  Note_on_c 0 34 0 
2 198480  Note_on_c 0 50 80 
2 198480  Note_on_c 0 46 80 
2 198719  Note_on_c 0 50 0 
2 198719  Note_on_c 0 46 0 
2 198720  Note_on_c 0 34 80 
2 198959  Note_on_c 0 34 0 
2 198960  Note_on_c 0 50 80 
2 198960  Note_on_c 0 46 80 
2 199199  Note_on_c 0 50 0 
2 199199  Note_on_c 0 46 0 
2 199200  Note_on_c 0 34 80 
2 199439  Note_on_c 0 34 0 
2 199440  Note_on_c 0 50 80 
2 199440  Note_on_c 0 46 80 
2 199679  Note_on_c 0 50 0 
2 199679  Note_on_c 0 46 0 
2 199680  Note_on_c 0 48 80 
2 199680  Note_on_c 0 36 80 
2 200039  Note_on_c 0 48 0 
2 200039  Note_on_c 0 36 0 
2 200040  Note_on_c 0 48 80 
2 200040  Note_on_c 0 36 80 
2 200399  Note_on_c 0 48 0 
2 200399  Note_on_c 0 36 0 
2 200400  Note_on_c 0 48 80 
2 200400  Note_on_c 0 36 80 
2 200639  Note_on_c 0 48 0 
2 200639  Note_on_c 0 36 0 
2 200640  Note_on_c 0 45 80 
2 200640  Note_on_c 0 33 80 
2 201119  Note_on_c 0 45 0 
2 201119  Note_on_c 0 33 0 
2 201120  Note_on_c 0 33 80 
2 201359  Note_on_c 0 33 0 
2 201360  Note_on_c 0 45 80 
2 201599  Note_on_c 0 45 0 
2 201600  Note_on_c 0 34 80 
2 201839  Note_on_c 0 34 0 
2 201840  Note_on_c 0 50 80 
2 201840  Note_on_c 0 46 80 
2 202079  Note_on_c 0 50 0 
2 202079  Note_on_c 0 46 0 
2 202080  Note_on_c 0 34 80 
2 202319  Note_on_c 0 34 0 
2 202320  Note_on_c 0 50 80 
2 202320  Note_on_c 0 46 80 
2 202559  Note_on_c 0 50 0 
2 202559  Note_on_c 0 46 0 
2 202560  Note_on_c 0 36 80 
2 202799  Note_on_c 0 36 0 
2 202800  Note_on_c 0 52 80 
2 202800  Note_on_c 0 48 80 
2 203039  Note_on_c 0 52 0 
2 203039  Note_on_c 0 48 0 
2 203040  Note_on_c 0 36 80 
2 203279  Note_on_c 0 36 0 
2 203280  Note_on_c 0 52 80 
2 203280  Note_on_c 0 48 80 
2 203519  Note_on_c 0 52 0 
2 203519  Note_on_c 0 48 0 
2 203520  Note_on_c 0 38 80 
2 203759  Note_on_c 0 38 0 
2 203760  Note_on_c 0 53 80 
2 203760  Note_on_c 0 50 80 
2 203999  Note_on_c 0 53 0 
2 203999  Note_on_c 0 50 0 
2 204000  Note_on_c 0 38 80 
2 204239  Note_on_c 0 38 0 
2 204240  Note_on_c 0 53 80 
2 204240  Note_on_c 0 50 80 
2 204479  Note_on_c 0 53 0 
2 204479  Note_on_c 0 50 0 
2 204480  Note_on_c 0 38 80 
2 204719  Note_on_c 0 38 0 
2 204720  Note_on_c 0 53 80 
2 204720  Note_on_c 0 50 80 
2 204959  Note_on_c 0 53 0 
2 204959  Note_on_c 0 50 0 
2 204960  Note_on_c 0 36 80 
2 205199  Note_on_c 0 36 0 
2 205200  Note_on_c 0 52 80 
2 205200  Note_on_c 0 48 80 
2 205439  Note_on_c 0 52 0 
2 205439  Note_on_c 0 48 0 
2 205440  Note_on_c 0 34 80 
2 205679  Note_on_c 0 34 0 
2 205680  Note_on_c 0 50 80 
2 205680  Note_on_c 0 46 80 
2 205919  Note_on_c 0 50 0 
2 205919  Note_on_c 0 46 0 
2 205920  Note_on_c 0 34 80 
2 206159  Note_on_c 0 34 0 
2 206160  Note_on_c 0 50 80 
2 206160  Note_on_c 0 46 80 
2 206399  Note_on_c 0 50 0 
2 206399  Note_on_c 0 46 0 
2 206400  Note_on_c 0 36 80 
2 206639  Note_on_c 0 36 0 
2 206640  Note_on_c 0 52 80 
2 206640  Note_on_c 0 48 80 
2 206879  Note_on_c 0 52 0 
2 206879  Note_on_c 0 48 0 
2 206880  Note_on_c 0 36 80 
2 207119  Note_on_c 0 36 0 
2 207120  Note_on_c 0 52 80 
2 207120  Note_on_c 0 48 80 
2 207359  Note_on_c 0 52 0 
2 207359  Note_on_c 0 48 0 
2 207360  Note_on_c 0 50 80 
2 207360  Note_on_c 0 38 80 
2 207719  Note_on_c 0 50 0 
2 207719  Note_on_c 0 38 0 
2 207720  Note_on_c 0 50 80 
2 207720  Note_on_c 0 38 80 
2 208079  Note_on_c 0 50 0 
2 208079  Note_on_c 0 38 0 
2 208080  Note_on_c 0 53 80 
2 208080  Note_on_c 0 41 80 
2 208319  Note_on_c 0 53 0 
2 208319  Note_on_c 0 41 0 
2 208320  Note_on_c 0 50 80 
2 208320  Note_on_c 0 38 80 
2 208799  Note_on_c 0 50 0 
2 208799  Note_on_c 0 38 0 
2 208800  Note_on_c 0 50 80 
2 208800  Note_on_c 0 38 80 
2 209039  Note_on_c 0 50 0 
2 209039  Note_on_c 0 38 0 
2 209040  Note_on_c 0 48 80 
2 209040  Note_on_c 0 36 80 
2 209279  Note_on_c 0 48 0 
2 209279  Note_on_c 0 36 0 
2 209280  Note_on_c 0 34 80 
2 209519  Note_on_c 0 34 0 
2 209520  Note_on_c 0 50 80 
2 209520  Note_on_c 0 46 80 
2 209759  Note_on_c 0 50 0 
2 209759  Note_on_c 0 46 0 
2 209760  Note_on_c 0 34 80 
2 209999  Note_on_c 0 34 0 
2 210000  Note_on_c 0 50 80 
2 210000  Note_on_c 0 46 80 
2 210239  Note_on_c 0 50 0 
2 210239  Note_on_c 0 46 0 
2 210240  Note_on_c 0 36 80 
2 210479  Note_on_c 0 36 0 
2 210480  Note_on_c 0 52 80 
2 210480  Note_on_c 0 48 80 
2 210719  Note_on_c 0 52 0 
2 210719  Note_on_c 0 48 0 
2 210720  Note_on_c 0 36 80 
2 210959  Note_on_c 0 36 0 
2 210960  Note_on_c 0 52 80 
2 210960  Note_on_c 0 48 80 
2 211199  Note_on_c 0 52 0 
2 211199  Note_on_c 0 48 0 
2 211200  Note_on_c 0 38 80 
2 211439  Note_on_c 0 38 0 
2 211440  Note_on_c 0 53 80 
2 211440  Note_on_c 0 50 80 
2 211679  Note_on_c 0 53 0 
2 211679  Note_on_c 0 50 0 
2 211680  Note_on_c 0 38 80 
2 211919  Note_on_c 0 38 0 
2 211920  Note_on_c 0 53 80 
2 211920  Note_on_c 0 50 80 
2 212159  Note_on_c 0 53 0 
2 212159  Note_on_c 0 50 0 
2 212160  Note_on_c 0 38 80 
2 212399  Note_on_c 0 38 0 
2 212400  Note_on_c 0 53 80 
2 212400  Note_on_c 0 50 80 
2 212639  Note_on_c 0 53 0 
2 212639  Note_on_c 0 50 0 
2 212640  Note_on_c 0 36 80 
2 212879  Note_on_c 0 36 0 
2 212880  Note_on_c 0 52 80 
2 212880  Note_on_c 0 48 80 
2 213119  Note_on_c 0 52 0 
2 213119  Note_on_c 0 48 0 
2 213120  Note_on_c 0 34 80 
2 213359  Note_on_c 0 34 0 
2 213360  Note_on_c 0 50 80 
2 213360  Note_on_c 0 46 80 
2 213599  Note_on_c 0 50 0 
2 213599  Note_on_c 0 46 0 
2 213600  Note_on_c 0 34 80 
2 213839  Note_on_c 0 34 0 
2 213840  Note_on_c 0 50 80 
2 213840  Note_on_c 0 46 80 
2 214079  Note_on_c 0 50 0 
2 214079  Note_on_c 0 46 0 
2 214080  Note_on_c 0 48 80 
2 214080  Note_on_c 0 36 80 
2 214439  Note_on_c 0 48 0 
2 214439  Note_on_c 0 36 0 
2 214440  Note_on_c 0 48 80 
2 214440  Note_on_c 0 36 80 
2 214799  Note_on_c 0 48 0 
2 214799  Note_on_c 0 36 0 
2 214800  Note_on_c 0 48 80 
2 214800  Note_on_c 0 36 80 
2 215039  Note_on_c 0 48 0 
2 215039  Note_on_c 0 36 0 
2 215040  Note_on_c 0 50 80 
2 215040  Note_on_c 0 38 80 
2 215399  Note_on_c 0 50 0 
2 215399  Note_on_c 0 38 0 
2 215400  Note_on_c 0 50 80 
2 215400  Note_on_c 0 38 80 
2 215759  Note_on_c 0 50 0 
2 215759  Note_on_c 0 38 0 
2 215760  Note_on_c 0 48 80 
2 215760  Note_on_c 0 36 80 
2 215999  Note_on_c 0 48 0 
2 215999  Note_on_c 0 36 0 
2 216000  Note_on_c 0 50 80 
2 216000  Note_on_c 0 38 80 
2 216479  Note_on_c 0 50 0 
2 216479  Note_on_c 0 38 0 
2 216480  Note_on_c 0 38 80 
2 216480  Note_on_c 0 26 80 
2 216719  Note_on_c 0 38 0 
2 216719  Note_on_c 0 26 0 
2 216960  Note_on_c 0 46 80 
2 216960  Note_on_c 0 41 80 
2 216960  Note_on_c 0 34 80 
2 217439  Note_on_c 0 46 0 
2 217439  Note_on_c 0 41 0 
2 217439  Note_on_c 0 34 0 
2 217440  Note_on_c 0 46 80 
