1 34080  Note_on_c 0 74 80 
1 34199  Note_on_c 0 74 0 
1 34200  Note_on_c 0 72 80 
1 34319  Note_on_c 0 72 0 
1 34320  Note_on_c 0 74 80 
1 34439  Note_on_c 0 74 0 
1 34440  Note_on_c 0 72 80 
1 34559  Note_on_c 0 72 0 
1 34560  Note_on_c 0 79 80 
1 34799  Note_on_c 0 79 0 
1 34800  Note_on_c 0 81 80 
1 35039  Note_on_c 0 81 0 
1 35040  Note_on_c 0 74 80 
1 35159  Note_on_c 0 74 0 
1 35160  Note_on_c 0 72 80 
1 35279  Note_on_c 0 72 0 
1 35280  Note_on_c 0 74 80 
1 35399  Note_on_c 0 74 0 
1 35400  Note_on_c 0 72 80 
1 35519  Note_on_c 0 72 0 
1 35520  Note_on_c 0 77 80 
1 35759  Note_on_c 0 77 0 
1 35760  Note_on_c 0 76 80 
1 35839  Note_on_c 0 76 0 
1 35840  Note_on_c 0 77 80 
1 35919  Note_on_c 0 77 0 
1 35920  Note_on_c 0 76 80 
1 35999  Note_on_c 0 76 0 
1 36000  Note_on_c 0 74 80 
1 36239  Note_on_c 0 74 0 
1 36240  Note_on_c 0 72 80 
1 36479  Note_on_c 0 72 0 
1 36480  Note_on_c 0 79 80 
1 36480  Note_on_c 0 74 80 
1 36719  Note_on_c 0 79 0 
1 36719  Note_on_c 0 74 0 
1 36720  Note_on_c 0 81 80 
1 36839  Note_on_c 0 81 0 
1 36840  Note_on_c 0 84 80 
1 36959  Note_on_c 0 84 0 
1 36960  Note_on_c 0 86 80 
1 37079  Note_on_c 0 86 0 
1 37080  Note_on_c 0 84 80 
1 37199  Note_on_c 0 84 0 
1 37200  Note_on_c 0 81 80 
1 37319  Note_on_c 0 81 0 
1 37320  Note_on_c 0 79 80 
1 37439  Note_on_c 0 79 0 
1 37440  Note_on_c 0 74 80 
1 37679  Note_on_c 0 74 0 
1 37680  Note_on_c 0 77 80 
1 37919  Note_on_c 0 77 0 
1 37920  Note_on_c 0 79 80 
1 37920  Note_on_c 0 74 80 
1 38159  Note_on_c 0 79 0 
1 38159  Note_on_c 0 74 0 
1 38160  Note_on_c 0 81 80 
1 38160  Note_on_c 0 74 80 
1 38399  Note_on_c 0 81 0 
1 38399  Note_on_c 0 74 0 
1 38400  Note_on_c 0 74 80 
1 38400  Note_on_c 0 69 80 
1 38759  Note_on_c 0 74 0 
1 38759  Note_on_c 0 69 0 
1 38760  Note_on_c 0 74 80 
1 38760  Note_on_c 0 69 80 
1 39119  Note_on_c 0 74 0 
1 39119  Note_on_c 0 69 0 
1 39120  Note_on_c 0 72 80 
1 39120  Note_on_c 0 67 80 
1 39359  Note_on_c 0 72 0 
1 39359  Note_on_c 0 67 0 
1 39360  Note_on_c 0 74 80 
1 39360  Note_on_c 0 69 80 
1 39599  Note_on_c 0 74 0 
1 39599  Note_on_c 0 69 0 
1 39600  Note_on_c 0 72 80 
1 39647  Note_on_c 0 72 0 
1 39648  Note_on_c 0 71 80 
1 39695  Note_on_c 0 71 0 
1 39696  Note_on_c 0 69 80 
1 39743  Note_on_c 0 69 0 
1 39744  Note_on_c 0 67 80 
1 39791  Note_on_c 0 67 0 
1 39792  Note_on_c 0 65 80 
1 39839  Note_on_c 0 65 0 
1 39840  Note_on_c 0 64 80 
1 39887  Note_on_c 0 64 0 
1 39888  Note_on_c 0 62 80 
1 39935  Note_on_c 0 62 0 
1 39936  Note_on_c 0 60 80 
1 39983  Note_on_c 0 60 0 
1 39984  Note_on_c 0 59 80 
1 40031  Note_on_c 0 59 0 
1 40032  Note_on_c 0 57 80 
1 40079  Note_on_c 0 57 0 
1 40320  Note_on_c 0 62 80 
1 40320  Note_on_c 0 57 80 
1 40559  Note_on_c 0 62 0 
1 40559  Note_on_c 0 57 0 
1 40800  Note_on_c 0 62 80 
1 40800  Note_on_c 0 57 80 
1 41159  Note_on_c 0 62 0 
1 41159  Note_on_c 0 57 0 
1 41160  Note_on_c 0 60 80 
1 41279  Note_on_c 0 60 0 
1 41280  Note_on_c 0 62 80 
1 41519  Note_on_c 0 62 0 
1 41520  Note_on_c 0 65 80 
1 41759  Note_on_c 0 65 0 
1 41760  Note_on_c 0 65 80 
1 41999  Note_on_c 0 65 0 
1 42000  Note_on_c 0 67 80 
1 42239  Note_on_c 0 67 0 
1 42240  Note_on_c 0 62 80 
1 42240  Note_on_c 0 57 80 
1 42479  Note_on_c 0 62 0 
1 42479  Note_on_c 0 57 0 
1 42720  Note_on_c 0 62 80 
1 42720  Note_on_c 0 57 80 
1 43079  Note_on_c 0 62 0 
1 43079  Note_on_c 0 57 0 
1 43080  Note_on_c 0 60 80 
1 43199  Note_on_c 0 60 0 
1 43200  Note_on_c 0 62 80 
1 43439  Note_on_c 0 62 0 
1 43440  Note_on_c 0 60 80 
1 43679  Note_on_c 0 60 0 
1 43680  Note_on_c 0 57 80 
1 43919  Note_on_c 0 57 0 
1 43920  Note_on_c 0 60 80 
1 44159  Note_on_c 0 60 0 
1 44160  Note_on_c 0 62 80 
1 44160  Note_on_c 0 57 80 
1 44399  Note_on_c 0 62 0 
1 44399  Note_on_c 0 57 0 
1 44640  Note_on_c 0 62 80 
1 44640  Note_on_c 0 57 80 
1 44999  Note_on_c 0 62 0 
1 44999  Note_on_c 0 57 0 
1 45000  Note_on_c 0 60 80 
1 45119  Note_on_c 0 60 0 
1 45120  Note_on_c 0 60 80 
1 45359  Note_on_c 0 60 0 
1 45360  Note_on_c 0 62 80 
1 45599  Note_on_c 0 62 0 
1 45600  Note_on_c 0 65 80 
1 45839  Note_on_c 0 65 0 
1 45840  Note_on_c 0 67 80 
1 46079  Note_on_c 0 67 0 
1 46080  Note_on_c 0 69 80 
1 46080  Note_on_c 0 62 80 
1 46559  Note_on_c 0 69 0 
1 46559  Note_on_c 0 62 0 
1 46560  Note_on_c 0 67 80 
1 46560  Note_on_c 0 62 80 
1 46799  Note_on_c 0 67 0 
1 46799  Note_on_c 0 62 0 
1 46800  Note_on_c 0 69 80 
1 46919  Note_on_c 0 69 0 
1 46920  Note_on_c 0 67 80 
1 47039  Note_on_c 0 67 0 
1 47040  Note_on_c 0 65 80 
1 47279  Note_on_c 0 65 0 
1 47520  Note_on_c 0 62 80 
1 47999  Note_on_c 0 62 0 
1 48000  Note_on_c 0 62 80 
1 48000  Note_on_c 0 57 80 
1 48359  Note_on_c 0 62 0 
1 48359  Note_on_c 0 57 0 
1 48360  Note_on_c 0 62 80 
1 48360  Note_on_c 0 57 80 
1 48479  Note_on_c 0 62 0 
1 48479  Note_on_c 0 57 0 
1 48480  Note_on_c 0 62 80 
1 48480  Note_on_c 0 57 80 
1 48839  Note_on_c 0 62 0 
1 48839  Note_on_c 0 57 0 
1 48840  Note_on_c 0 60 80 
1 48959  Note_on_c 0 60 0 
1 48960  Note_on_c 0 60 80 
1 49199  Note_on_c 0 60 0 
1 49200  Note_on_c 0 62 80 
1 49439  Note_on_c 0 62 0 
1 49440  Note_on_c 0 65 80 
1 49679  Note_on_c 0 65 0 
1 49680  Note_on_c 0 67 80 
1 49919  Note_on_c 0 67 0 
1 49920  Note_on_c 0 62 80 
1 49920  Note_on_c 0 57 80 
1 50159  Note_on_c 0 62 0 
1 50159  Note_on_c 0 57 0 
1 50400  Note_on_c 0 62 80 
1 50400  Note_on_c 0 57 80 
1 50759  Note_on_c 0 62 0 
1 50759  Note_on_c 0 57 0 
1 50760  Note_on_c 0 60 80 
1 50879  Note_on_c 0 60 0 
1 50880  Note_on_c 0 62 80 
1 51119  Note_on_c 0 62 0 
1 51120  Note_on_c 0 60 80 
1 51359  Note_on_c 0 60 0 
1 51360  Note_on_c 0 57 80 
1 51599  Note_on_c 0 57 0 
1 51600  Note_on_c 0 60 80 
1 51839  Note_on_c 0 60 0 
1 51840  Note_on_c 0 62 80 
1 51840  Note_on_c 0 57 80 
1 52079  Note_on_c 0 62 0 
1 52079  Note_on_c 0 57 0 
1 52320  Note_on_c 0 62 80 
1 52320  Note_on_c 0 57 80 
1 52679  Note_on_c 0 62 0 
1 52679  Note_on_c 0 57 0 
1 52680  Note_on_c 0 60 80 
1 52799  Note_on_c 0 60 0 
1 52800  Note_on_c 0 60 80 
1 53039  Note_on_c 0 60 0 
1 53040  Note_on_c 0 62 80 
1 53279  Note_on_c 0 62 0 
1 53280  Note_on_c 0 65 80 
1 53519  Note_on_c 0 65 0 
1 53520  Note_on_c 0 67 80 
1 53759  Note_on_c 0 67 0 
1 53760  Note_on_c 0 69 80 
1 53760  Note_on_c 0 62 80 
1 54239  Note_on_c 0 69 0 
1 54239  Note_on_c 0 62 0 
1 54240  Note_on_c 0 67 80 
1 54240  Note_on_c 0 62 80 
1 54479  Note_on_c 0 67 0 
1 54479  Note_on_c 0 62 0 
1 54480  Note_on_c 0 69 80 
1 54599  Note_on_c 0 69 0 
1 54600  Note_on_c 0 67 80 
1 54719  Note_on_c 0 67 0 
1 54720  Note_on_c 0 65 80 
1 54959  Note_on_c 0 65 0 
1 55200  Note_on_c 0 62 80 
1 55200  Note_on_c 0 57 80 
1 55679  Note_on_c 0 62 0 
1 55679  Note_on_c 0 57 0 
1 55680  Note_on_c 0 65 80 
1 55680  Note_on_c 0 62 80 
1 55680  Note_on_c 0 60 80 
1 55680  Note_on_c 0 57 80 
1 56159  Note_on_c 0 65 0 
1 56159  Note_on_c 0 62 0 
1 56159  Note_on_c 0 60 0 
1 56159  Note_on_c 0 57 0 
1 56160  Note_on_c 0 64 80 
1 56160  Note_on_c 0 60 80 
1 56160  Note_on_c 0 57 80 
1 56639  Note_on_c 0 64 0 
1 56639  Note_on_c 0 60 0 
1 56639  Note_on_c 0 57 0 
1 56640  Note_on_c 0 62 80 
1 56640  Note_on_c 0 58 80 
1 56640  Note_on_c 0 53 80 
1 57119  Note_on_c 0 62 0 
1 57119  Note_on_c 0 58 0 
1 57119  Note_on_c 0 53 0 
1 57120  Note_on_c 0 60 80 
1 57120  Note_on_c 0 53 80 
1 57599  Note_on_c 0 60 0 
1 57599  Note_on_c 0 53 0 
1 57600  Note_on_c 0 60 80 
1 57600  Note_on_c 0 53 80 
1 57839  Note_on_c 0 60 0 
1 57839  Note_on_c 0 53 0 
1 57840  Note_on_c 0 62 80 
1 57959  Note_on_c 0 62 0 
1 57960  Note_on_c 0 60 80 
1 58079  Note_on_c 0 60 0 
1 58080  Note_on_c 0 57 80 
1 58319  Note_on_c 0 57 0 
1 58320  Note_on_c 0 55 80 
1 58559  Note_on_c 0 55 0 
1 58560  Note_on_c 0 57 80 
1 59519  Note_on_c 0 57 0 
